1010,122,7
1014,73,7
966,123,1
968,104,6
860,75,10
988,91,7
841,84,6
1108,94,5
1048,104,9
1038,100,10
981,94,3
1035,100,7
1086,59,3
932,88,4
1123,103,10
804,125,7
970,133,3
1032,116,9
901,126,10
1011,98,10
995,110,1
914,73,9
983,110,9
817,113,8
1124,105,10
1023,77,7
984,103,9
1094,100,8
1124,116,6
895,129,1
927,98,7
878,109,10
937,86,7
896,65,8
975,92,6
1143,71,8
869,106,10
972,69,2
1092,97,2
887,95,8
858,93,10
1052,122,7
943,114,7
921,102,8
791,72,10
1086,83,8
1100,74,5
915,71,3
1195,139,7
916,99,5
1096,79,10
1012,109,4
1010,87,5
953,72,1
1012,75,2
1204,104,9
968,110,2
1027,113,3
1012,111,5
967,102,6
1046,93,4
1055,143,8
1147,95,6
1075,138,1
1139,111,8
998,121,2
964,104,2
977,110,5
1050,99,5
1106,119,3
948,48,7
1089,100,2
1082,131,3
1032,90,2
1284,128,7
1010,113,3
1143,88,3
1104,75,10
1186,115,2
1063,134,6
698,69,1
856,102,10
929,99,4
1059,94,4
1076,124,7
1116,103,3
963,111,10
1149,76,6
1196,126,9
1045,95,2
883,70,5
871,83,1
772,99,9
1047,97,1
1073,118,7
953,112,3
898,92,6
945,114,2
858,108,6
963,81,1
1018,81,8
935,87,3
1215,74,7
812,111,4
990,127,2
1061,94,10
975,102,1
934,76,8
827,80,9
894,127,6
983,106,8
761,71,2
874,100,4
1017,96,3
1024,134,5
954,104,9
1089,99,1
877,87,3
1037,75,7
1027,93,8
894,120,4
854,85,6
996,85,2
854,116,8
1056,100,9
891,141,5
975,59,9
868,87,2
771,92,2
1013,107,9
902,116,1
1007,80,10
962,113,10
925,81,10
941,138,8
776,76,2
883,93,6
1068,95,3
948,105,10
1041,98,6
992,126,7
1041,98,7
1068,90,10
1082,92,8
1251,71,9
1081,125,8
1047,105,9
911,93,10
905,130,6
1073,74,7
1107,104,3
1040,70,4
954,118,5
1027,74,9
1161,127,9
1015,108,6
860,114,8
1024,111,8
986,97,2
1107,68,7
1101,104,10
1127,80,5
961,133,8
990,125,10
1012,108,7
1055,92,3
1038,85,4
1008,111,9
973,100,6
980,103,2
999,86,3
941,120,7
926,161,10
985,96,5
1030,106,6
1046,108,3
941,102,5
889,99,9
945,93,7
1052,100,8
856,66,7
1173,107,6
989,133,5
956,56,10
1058,110,2
1096,66,8
1106,103,2
1079,66,10
1191,97,9
996,87,1
1052,101,4
1021,76,1
1040,74,9
887,101,6
1039,63,9
1156,93,3
1032,102,7
990,103,6
1111,103,10
1142,94,1
1049,118,1
1019,122,9
1070,114,8
885,131,4
1051,97,9
938,105,4
1017,89,8
802,95,3
1008,119,4
1113,65,4
981,99,3
928,97,9
954,88,7
993,85,4
1060,105,2
934,108,6
1108,125,6
963,100,10
890,97,9
979,102,10
1144,93,5
1070,103,1
1129,65,6
1000,80,8
859,117,5
994,66,9
1001,83,4
1005,80,1
1092,73,8
1001,107,3
890,99,2
1030,111,1
912,92,2
827,97,4
915,90,3
986,73,9
1044,121,3
978,113,2
962,74,5
1236,103,9
955,131,7
1120,137,6
987,119,4
1122,85,8
962,99,1
1040,102,3
1181,117,2
1019,84,4
777,122,9
1040,105,1
1041,72,1
964,65,5
1100,97,7
984,111,7
955,124,3
963,110,5
889,115,5
1089,109,5
1134,118,5
965,139,6
1034,101,8
1183,106,10
985,101,9
1070,82,10
1125,113,4
828,114,7
915,94,1
864,120,8
1060,91,1
919,100,3
997,152,6
976,91,4
1189,128,10
971,119,10
1100,87,1
1116,104,2
973,135,7
1035,100,9
772,120,8
1001,101,2
1095,49,3
1104,89,9
961,64,2
1020,119,1
1033,130,1
951,100,9
1108,80,2
1135,92,5
997,118,7
1068,84,7
1062,128,1
1203,94,7
1055,107,9
941,120,5
900,82,8
951,109,8
964,124,7
927,122,6
874,66,7
978,123,4
1117,110,1
1088,125,1
858,106,6
968,102,2
1055,100,2
1093,93,5
1044,91,2
977,86,4
943,106,8
932,114,6
1013,104,9
962,112,1
1013,88,4
1050,100,10
1051,126,5
1044,83,7
1013,98,6
888,94,4
1175,104,9
1044,90,10
729,140,6
1012,73,8
1106,79,3
1071,33,9
984,101,7
856,106,1
861,70,8
946,81,4
801,72,4
925,82,5
1026,109,5
